REGION,JOB_TITLE,SALARY,LOAN_AMOUNT,PERIOD,TARGET
Москва,Программист,96231,1674704,84,1
Казань,Экономист,189242,1397664,108,1
Питер,Бухгалтер,157495,926696,84,1
Москва,Бухгалтер,89450,1868632,24,0
Казань,Экономист,189242,1743964,84,1
Москва,Программист,89450,1896336,108,1
Питер,Бухгалтер,189242,441876,84,1
Москва,Бухгалтер,137245,386468,36,1
Питер,Экономист,189242,1411516,36,1
Москва,Бухгалтер,210561,358764,48,1
Казань,Бухгалтер,112309,331060,36,1
Москва,Экономист,89450,1591592,24,0
Питер,Программист,75614,1397664,12,0
Питер,Программист,96231,552692,60,1
Питер,Экономист,89450,1605444,96,1
Питер,Бухгалтер,75614,1993300,12,0
Москва,Экономист,112309,1882484,24,0
Казань,Бухгалтер,75614,1120624,24,0
Москва,Программист,75614,289504,96,1
Москва,Экономист,137245,1106772,36,1
Питер,Экономист,210561,538840,48,1
Казань,Бухгалтер,112309,982104,36,1
Питер,Бухгалтер,189242,1259144,96,1
Казань,Программист,189242,1092920,60,1
Казань,Экономист,137245,912844,72,1
Питер,Программист,137245,608100,108,1
Казань,Экономист,89450,1203736,96,1
Казань,Программист,210561,247948,108,1
Казань,Бухгалтер,96231,1674704,72,1
Москва,Программист,137245,1176032,96,1
Москва,Экономист,210561,344912,84,1
Питер,Экономист,96231,1965596,84,1
Москва,Программист,112309,649656,12,0
Казань,Экономист,75614,1300700,72,1
Питер,Программист,75614,857436,108,1
Москва,Программист,96231,1508480,72,1
Казань,Экономист,157495,677360,48,1
Питер,Экономист,89450,732768,36,1
Москва,Бухгалтер,96231,732768,108,1
Питер,Программист,210561,968252,96,1
Москва,Бухгалтер,112309,1369960,60,1
Москва,Бухгалтер,112309,1425368,84,1
Казань,Бухгалтер,157495,1508480,84,1
Питер,Экономист,210561,1356108,72,1
Москва,Экономист,157495,1023660,72,1
Питер,Экономист,112309,1411516,96,1
Москва,Программист,112309,815880,108,1
Казань,Экономист,75614,1480776,84,1
Питер,Программист,112309,1466924,84,1
Казань,Экономист,210561,1550036,108,1
Москва,Экономист,210561,663508,12,1
Казань,Экономист,189242,1924040,12,0
Питер,Экономист,210561,524988,84,1
Москва,Бухгалтер,189242,220244,48,1
Москва,Экономист,75614,1272996,24,0
Москва,Бухгалтер,96231,1730112,24,0
Питер,Программист,137245,261800,24,1
Питер,Программист,137245,1633148,96,1
Питер,Бухгалтер,89450,552692,12,0
Казань,Экономист,96231,705064,60,1
Питер,Экономист,210561,871288,84,1
Питер,Бухгалтер,189242,1785520,72,1
Питер,Бухгалтер,157495,677360,72,1
Казань,Бухгалтер,112309,289504,12,1
Казань,Программист,89450,1079068,24,0
Москва,Экономист,112309,1896336,48,0
Питер,Программист,75614,1979448,12,0
Питер,Экономист,112309,1494628,108,1
Питер,Экономист,96231,885140,108,1
Питер,Программист,89450,1245292,72,1
Питер,Экономист,89450,1536184,96,1
Казань,Экономист,112309,1286848,24,0
Москва,Программист,210561,1466924,108,1
Казань,Экономист,112309,788176,84,1
Казань,Экономист,210561,358764,12,1
Москва,Программист,210561,1730112,36,1
Москва,Бухгалтер,112309,358764,60,1
Питер,Программист,75614,234096,96,1
Питер,Программист,157495,1743964,96,1
Москва,Экономист,210561,982104,36,1
Москва,Программист,112309,1702408,72,1
Казань,Программист,112309,1023660,12,0
Москва,Экономист,137245,857436,60,1
Москва,Бухгалтер,96231,1120624,60,1
Казань,Экономист,96231,802028,36,1
Москва,Программист,112309,275652,72,1
Питер,Экономист,189242,1065216,60,1
Казань,Программист,89450,1605444,72,1
Казань,Программист,137245,1411516,60,1
Питер,Бухгалтер,75614,635804,12,0
Питер,Программист,210561,1730112,48,1
Питер,Программист,189242,1079068,48,1
Питер,Бухгалтер,89450,331060,72,1
Казань,Экономист,157495,483432,36,1
Казань,Бухгалтер,157495,1896336,12,0
Москва,Программист,89450,705064,60,1
Казань,Экономист,157495,1162180,36,1
Питер,Экономист,157495,1466924,72,1
Москва,Экономист,112309,1577740,12,0
Москва,Программист,89450,1550036,72,1
Питер,Экономист,210561,1688556,60,1
Москва,Программист,157495,1951744,84,1
Москва,Бухгалтер,75614,898992,60,1
Питер,Бухгалтер,210561,1674704,24,0
Казань,Бухгалтер,137245,1619296,36,0
Питер,Программист,96231,1106772,60,1
Казань,Программист,89450,1023660,96,1
Москва,Экономист,112309,1536184,72,1
Казань,Экономист,75614,857436,60,1
Москва,Программист,157495,497284,72,1
Москва,Программист,112309,1563888,108,1
Москва,Бухгалтер,112309,1480776,24,0
Казань,Бухгалтер,189242,691212,36,1
Москва,Бухгалтер,210561,982104,24,1
Москва,Бухгалтер,96231,386468,24,1
Москва,Экономист,89450,718916,24,0
Казань,Экономист,137245,1134476,84,1
Питер,Экономист,112309,1896336,48,0
Москва,Экономист,75614,358764,60,1
Москва,Экономист,89450,206392,12,1
Казань,Экономист,96231,608100,96,1
Питер,Бухгалтер,157495,192540,108,1
Питер,Бухгалтер,75614,400320,48,1
Казань,Бухгалтер,157495,1494628,48,1
Питер,Бухгалтер,75614,926696,84,1
Казань,Программист,157495,732768,60,1
Питер,Экономист,157495,1300700,108,1
Казань,Бухгалтер,157495,1522332,24,0
Питер,Экономист,112309,1799372,60,1
Питер,Бухгалтер,112309,317208,60,1
Москва,Бухгалтер,157495,1550036,60,1
Москва,Экономист,96231,649656,84,1
Питер,Бухгалтер,89450,995956,24,0
Казань,Программист,137245,1203736,60,1
Питер,Экономист,75614,1550036,36,0
Москва,Бухгалтер,157495,580396,96,1
Питер,Программист,137245,1245292,96,1
Питер,Бухгалтер,189242,732768,108,1
Москва,Бухгалтер,75614,372616,60,1
Казань,Программист,157495,1536184,108,1
Питер,Программист,96231,898992,36,1
Питер,Бухгалтер,75614,1882484,48,0
Казань,Экономист,89450,1688556,24,0
Казань,Экономист,189242,1189884,84,1
Казань,Бухгалтер,189242,1743964,12,0
Питер,Экономист,75614,1356108,60,1
Казань,Программист,75614,1231440,72,1
Казань,Программист,157495,1743964,24,0
Москва,Программист,75614,677360,96,1
Казань,Бухгалтер,89450,1508480,108,1
Казань,Бухгалтер,112309,608100,48,1
Москва,Экономист,112309,1176032,36,1
Москва,Программист,189242,247948,96,1
Питер,Программист,112309,386468,96,1
Москва,Экономист,137245,455728,24,1
Москва,Бухгалтер,75614,234096,48,1
Питер,Экономист,189242,829732,60,1
Москва,Бухгалтер,210561,995956,48,1
Казань,Программист,189242,1563888,108,1
Москва,Программист,75614,1605444,48,0
Питер,Бухгалтер,96231,497284,12,0
Москва,Экономист,75614,469580,48,1
Москва,Программист,96231,718916,108,1
Питер,Экономист,137245,1314552,12,0
Питер,Экономист,157495,247948,12,1
Москва,Экономист,189242,1356108,12,0
Питер,Бухгалтер,89450,995956,12,0
Москва,Программист,137245,580396,72,1
Питер,Бухгалтер,137245,898992,84,1
Казань,Программист,96231,691212,84,1
Казань,Бухгалтер,157495,968252,84,1
Питер,Бухгалтер,75614,511136,72,1
Казань,Бухгалтер,189242,497284,12,1
Питер,Программист,189242,1536184,24,0
Казань,Программист,96231,1245292,108,1
Москва,Бухгалтер,96231,649656,60,1
Казань,Экономист,96231,220244,24,1
Питер,Программист,189242,608100,48,1
Питер,Бухгалтер,96231,594248,12,0
Казань,Экономист,75614,621952,84,1
Москва,Бухгалтер,137245,1480776,84,1
Казань,Программист,112309,566544,84,1
Казань,Программист,96231,1508480,36,0
Казань,Экономист,75614,898992,48,1
Казань,Программист,210561,1605444,108,1
Москва,Бухгалтер,112309,538840,36,1
Москва,Экономист,157495,594248,60,1
Москва,Программист,137245,1508480,12,0
Казань,Программист,96231,220244,108,1
Москва,Бухгалтер,112309,663508,72,1
Питер,Программист,89450,1425368,96,1
Питер,Экономист,210561,1896336,96,1
Москва,Бухгалтер,189242,1799372,72,1
Москва,Экономист,189242,968252,48,1
Москва,Программист,112309,1619296,84,1
Питер,Программист,210561,344912,72,1
Казань,Экономист,75614,1217588,108,1
Москва,Экономист,75614,331060,72,1
Питер,Экономист,89450,1328404,60,1
Москва,Программист,112309,1300700,84,1
Казань,Программист,96231,1619296,12,0
Питер,Экономист,157495,926696,72,1
Питер,Программист,75614,220244,48,1
Москва,Программист,189242,1425368,72,1
Москва,Программист,189242,1397664,24,0
Питер,Экономист,75614,1993300,72,0
Питер,Бухгалтер,96231,898992,36,1
Москва,Бухгалтер,89450,608100,48,1
Москва,Программист,89450,635804,84,1
Питер,Программист,89450,857436,12,0
Питер,Бухгалтер,89450,1799372,24,0
Казань,Бухгалтер,189242,234096,60,1
Питер,Бухгалтер,157495,1868632,60,1
Питер,Бухгалтер,137245,220244,108,1
Казань,Программист,157495,331060,12,1
Питер,Экономист,157495,455728,72,1
Питер,Бухгалтер,89450,594248,108,1
Казань,Бухгалтер,189242,1827076,48,1
Казань,Программист,96231,649656,84,1
Москва,Бухгалтер,210561,677360,84,1
Питер,Программист,75614,1383812,36,0
Казань,Экономист,96231,594248,24,1
Питер,Программист,75614,1453072,96,1
Питер,Программист,75614,1896336,84,1
Москва,Экономист,189242,705064,72,1
Питер,Бухгалтер,75614,234096,84,1
Москва,Программист,112309,1106772,48,1
Казань,Экономист,210561,995956,12,0
Казань,Экономист,112309,926696,36,1
Казань,Экономист,137245,1799372,84,1
Москва,Программист,210561,1217588,60,1
Питер,Программист,189242,1439220,84,1
Казань,Программист,96231,1840928,60,0
Казань,Экономист,137245,1300700,36,1
Москва,Экономист,96231,1882484,48,0
Казань,Программист,89450,1757816,36,0
Казань,Экономист,89450,1023660,72,1
Питер,Экономист,189242,788176,108,1
Казань,Программист,96231,1300700,24,0
Москва,Экономист,75614,1203736,108,1
Москва,Программист,96231,1286848,48,1
Москва,Программист,210561,1771668,24,0
Москва,Бухгалтер,157495,1439220,72,1
Москва,Бухгалтер,189242,1272996,108,1
Казань,Экономист,210561,511136,84,1
Москва,Экономист,189242,1910188,24,0
Питер,Бухгалтер,75614,898992,24,0
Москва,Экономист,96231,538840,60,1
Питер,Экономист,157495,1813224,36,0
Питер,Программист,189242,1092920,84,1
Москва,Экономист,96231,802028,108,1
Казань,Экономист,89450,1439220,60,1
Москва,Программист,75614,400320,96,1
Москва,Экономист,89450,344912,48,1
Казань,Программист,210561,1383812,36,1
Москва,Экономист,189242,802028,108,1
Москва,Программист,112309,1009808,36,1
Питер,Экономист,96231,594248,60,1
Питер,Бухгалтер,137245,483432,108,1
Казань,Бухгалтер,96231,580396,24,1
Москва,Программист,189242,1051364,12,0
Казань,Экономист,137245,261800,96,1
Казань,Экономист,75614,732768,48,1
Москва,Программист,137245,1605444,96,1
Казань,Программист,89450,954400,36,1
Москва,Бухгалтер,137245,1369960,72,1
Москва,Экономист,157495,206392,60,1
Казань,Бухгалтер,210561,317208,108,1
Казань,Экономист,89450,441876,60,1
Питер,Программист,210561,1951744,12,0
Казань,Бухгалтер,112309,815880,96,1
Питер,Бухгалтер,210561,1951744,48,1
Москва,Экономист,210561,1342256,108,1
Москва,Бухгалтер,157495,247948,84,1
Питер,Программист,137245,1757816,36,0
Казань,Программист,157495,1702408,12,0
Казань,Бухгалтер,210561,1757816,108,1
Москва,Экономист,96231,843584,60,1
Москва,Бухгалтер,89450,289504,24,1
Питер,Экономист,112309,912844,108,1
Питер,Программист,89450,497284,48,1
Москва,Бухгалтер,96231,621952,24,1
Москва,Бухгалтер,75614,1453072,84,1
Москва,Экономист,189242,1189884,24,1
Питер,Экономист,75614,1951744,24,0
Казань,Экономист,157495,220244,96,1
Москва,Программист,137245,1896336,24,0
Москва,Экономист,112309,594248,72,1
Питер,Программист,75614,1910188,72,0
Казань,Программист,89450,705064,60,1
Питер,Бухгалтер,75614,1688556,60,0
Москва,Экономист,189242,1716260,24,0
Москва,Бухгалтер,137245,912844,12,0
Питер,Экономист,210561,732768,36,1
Москва,Экономист,112309,1162180,84,1
Казань,Экономист,137245,1009808,72,1
Питер,Бухгалтер,75614,1605444,84,1
Москва,Экономист,189242,1397664,24,0
Питер,Программист,112309,1162180,12,0
Москва,Бухгалтер,189242,1203736,24,1
Казань,Экономист,210561,234096,60,1
Москва,Экономист,96231,1134476,108,1
Казань,Бухгалтер,89450,1065216,96,1
Питер,Программист,96231,1494628,12,0
Питер,Экономист,157495,1176032,96,1
Казань,Бухгалтер,210561,691212,108,1
Казань,Программист,75614,1439220,36,0
Казань,Программист,75614,732768,12,0
Казань,Программист,157495,414172,24,1
Казань,Программист,210561,968252,72,1
Казань,Бухгалтер,137245,580396,60,1
Питер,Программист,112309,968252,12,0
Питер,Бухгалтер,157495,1937892,24,0
Питер,Экономист,189242,1605444,60,1
Питер,Бухгалтер,96231,1924040,36,0
Питер,Бухгалтер,210561,1439220,48,1
Казань,Экономист,75614,1563888,36,0
Казань,Экономист,157495,1369960,96,1
Казань,Бухгалтер,75614,1785520,108,1
Казань,Бухгалтер,137245,1314552,12,0
Москва,Программист,157495,455728,84,1
Казань,Программист,96231,1494628,24,0
Москва,Бухгалтер,189242,1785520,108,1
Питер,Экономист,189242,1730112,108,1
Казань,Бухгалтер,112309,1092920,12,0
Москва,Программист,157495,621952,24,1
Москва,Программист,75614,1785520,96,1
Москва,Программист,189242,511136,84,1
Казань,Экономист,112309,649656,60,1
Питер,Бухгалтер,75614,1508480,84,1
Казань,Программист,210561,1397664,60,1
Казань,Бухгалтер,89450,441876,72,1
Москва,Бухгалтер,157495,1619296,72,1
Москва,Экономист,112309,289504,108,1
Казань,Программист,89450,1369960,24,0
Казань,Программист,137245,1743964,48,1
Питер,Программист,112309,580396,108,1
Питер,Экономист,89450,898992,36,1
Казань,Программист,157495,649656,72,1
Казань,Экономист,137245,1868632,12,0
Питер,Программист,137245,220244,72,1
Питер,Бухгалтер,89450,469580,96,1
Питер,Бухгалтер,112309,1799372,60,1
Казань,Бухгалтер,137245,1522332,108,1
Питер,Экономист,112309,1896336,84,1
Казань,Экономист,189242,1799372,36,1
Казань,Бухгалтер,75614,1203736,48,0
Питер,Экономист,89450,400320,48,1
Москва,Экономист,210561,483432,60,1
