REGION,JOB_TITLE,SALARY,LOAN_AMOUNT,PERIOD
Питер,Программист,89450,1189884,108
Казань,Программист,96231,414172,36
Москва,Бухгалтер,75614,1840928,36
Питер,Бухгалтер,189242,1356108,84
Казань,Бухгалтер,210561,441876,24
Москва,Бухгалтер,137245,1023660,72
Питер,Программист,157495,1065216,12
Питер,Экономист,157495,1813224,48
Москва,Экономист,89450,1356108,72
Казань,Программист,112309,1397664,12
Москва,Программист,189242,1965596,108
Казань,Программист,157495,1660852,96
Москва,Бухгалтер,157495,1162180,72
Казань,Экономист,210561,247948,108
Питер,Экономист,89450,566544,72
Казань,Экономист,96231,524988,48
Казань,Бухгалтер,189242,566544,72
Казань,Экономист,210561,1065216,60
Москва,Экономист,89450,982104,60
Москва,Программист,157495,857436,96
Москва,Программист,89450,802028,36
Москва,Программист,75614,1342256,48
Питер,Программист,210561,1868632,24
Москва,Программист,157495,1231440,96
Питер,Экономист,112309,1286848,60
Москва,Программист,189242,1203736,60
Казань,Экономист,137245,1633148,12
Москва,Экономист,157495,1688556,24
Казань,Программист,112309,1369960,108
Казань,Программист,75614,1286848,60
Питер,Экономист,89450,1217588,24
Питер,Экономист,137245,220244,12
Питер,Бухгалтер,89450,815880,96
Казань,Программист,75614,552692,96
Казань,Программист,75614,1965596,72
Москва,Бухгалтер,75614,1619296,48
Казань,Экономист,75614,566544,48
Питер,Программист,89450,1120624,108
Казань,Бухгалтер,210561,1882484,60
Москва,Экономист,137245,774324,12
Москва,Программист,75614,428024,84
Питер,Программист,75614,1827076,84
Казань,Бухгалтер,89450,1827076,48
Казань,Бухгалтер,210561,206392,24
Питер,Бухгалтер,137245,649656,96
Питер,Программист,137245,1716260,108
Казань,Программист,210561,1965596,48
Питер,Программист,137245,1702408,36
Москва,Экономист,112309,441876,48
Казань,Программист,210561,511136,84
Питер,Программист,157495,220244,96
Питер,Экономист,157495,1286848,48
Питер,Программист,75614,1979448,36
Питер,Экономист,157495,926696,96
Москва,Экономист,75614,358764,48
Казань,Бухгалтер,137245,441876,72
Москва,Бухгалтер,75614,261800,48
Питер,Бухгалтер,210561,1868632,36
Казань,Экономист,96231,691212,12
Казань,Экономист,157495,1550036,108
Москва,Программист,96231,1120624,72
Москва,Программист,75614,1827076,60
Казань,Экономист,157495,1674704,48
Казань,Экономист,112309,746620,12
Москва,Программист,189242,317208,60
Казань,Экономист,210561,1079068,12
Казань,Экономист,137245,206392,48
Москва,Экономист,157495,358764,108
Москва,Экономист,75614,303356,12
Москва,Бухгалтер,89450,1189884,96
Питер,Программист,137245,400320,60
Питер,Экономист,189242,691212,24
Москва,Бухгалтер,75614,1079068,48
Питер,Экономист,112309,1203736,36
Москва,Программист,96231,843584,36
Питер,Экономист,189242,705064,108
Москва,Бухгалтер,210561,1106772,36
Питер,Программист,96231,1730112,72
Казань,Программист,96231,206392,36
Москва,Бухгалтер,75614,1466924,12
Питер,Бухгалтер,137245,691212,84
Питер,Программист,112309,1176032,36
Москва,Экономист,112309,1037512,96
Москва,Бухгалтер,112309,1383812,84
Питер,Программист,189242,1134476,48
Москва,Программист,210561,1937892,72
Казань,Программист,96231,552692,36
Москва,Экономист,75614,1162180,96
Питер,Бухгалтер,75614,1536184,24
Москва,Экономист,112309,1965596,72
Казань,Программист,189242,885140,36
Казань,Программист,112309,1356108,72
Москва,Экономист,157495,815880,36
Москва,Бухгалтер,112309,400320,84
Москва,Бухгалтер,96231,1674704,24
Москва,Бухгалтер,189242,760472,60
Москва,Экономист,157495,538840,72
Москва,Бухгалтер,157495,1272996,72
Питер,Бухгалтер,112309,1550036,96
Казань,Программист,210561,344912,36
Питер,Программист,96231,1286848,84
Питер,Экономист,96231,469580,84
Питер,Бухгалтер,112309,815880,24
Питер,Экономист,189242,843584,60
Москва,Экономист,157495,608100,36
Питер,Экономист,75614,635804,12
Казань,Программист,89450,871288,108
Питер,Программист,89450,995956,24
Казань,Бухгалтер,137245,1743964,24
Питер,Экономист,89450,1162180,84
Казань,Бухгалтер,75614,1951744,96
Казань,Экономист,96231,705064,84
Казань,Экономист,157495,497284,24
Москва,Бухгалтер,112309,1730112,108
Питер,Бухгалтер,89450,1730112,60
Питер,Экономист,112309,1882484,12
Казань,Экономист,112309,621952,84
Казань,Экономист,96231,774324,72
Питер,Бухгалтер,210561,552692,84
Казань,Программист,210561,1965596,60
Питер,Бухгалтер,189242,1148328,36
Москва,Программист,96231,358764,12
Казань,Бухгалтер,112309,995956,108
Питер,Бухгалтер,210561,1813224,36
Москва,Бухгалтер,210561,400320,72
Питер,Программист,137245,1120624,84
Казань,Бухгалтер,112309,1799372,84
Москва,Бухгалтер,75614,788176,96
Казань,Экономист,189242,1494628,48
Питер,Программист,189242,192540,60
Казань,Экономист,112309,857436,96
Казань,Бухгалтер,89450,206392,36
Казань,Программист,137245,1272996,60
Питер,Экономист,157495,1840928,96
Москва,Бухгалтер,137245,621952,108
Казань,Программист,137245,358764,96
Казань,Программист,210561,1660852,108
Казань,Программист,89450,815880,48
Питер,Программист,189242,261800,24
Москва,Экономист,75614,344912,84
Питер,Экономист,189242,760472,48
Москва,Программист,75614,1079068,108
Питер,Программист,75614,635804,84
Москва,Программист,157495,317208,72
Питер,Программист,189242,1079068,36
Казань,Бухгалтер,189242,1674704,24
Питер,Экономист,96231,1730112,108
Казань,Бухгалтер,137245,1702408,36
Москва,Бухгалтер,157495,1605444,12
Питер,Программист,75614,483432,60
Москва,Программист,210561,469580,12
Москва,Бухгалтер,89450,1757816,72
Казань,Экономист,75614,1633148,84
Питер,Экономист,89450,220244,72
Москва,Экономист,210561,1771668,60
Питер,Бухгалтер,89450,1563888,24
Казань,Экономист,96231,995956,24
Казань,Экономист,189242,746620,48
Москва,Программист,112309,1965596,24
Москва,Бухгалтер,75614,1605444,12
Казань,Бухгалтер,96231,1134476,96
Казань,Экономист,75614,1328404,96
Питер,Бухгалтер,157495,261800,84
Питер,Экономист,112309,220244,12
Москва,Программист,189242,1120624,84
Казань,Программист,96231,428024,72
Казань,Экономист,89450,1660852,48
Питер,Экономист,89450,1647000,60
Москва,Экономист,112309,1688556,108
Казань,Бухгалтер,189242,1134476,24
Москва,Программист,112309,441876,108
Казань,Экономист,210561,954400,48
Москва,Бухгалтер,75614,289504,108
Москва,Экономист,89450,1591592,72
Питер,Экономист,89450,1148328,36
Питер,Бухгалтер,96231,1868632,84
Питер,Экономист,157495,1854780,60
Питер,Программист,157495,871288,96
Питер,Экономист,96231,441876,24
Москва,Программист,75614,1716260,108
Москва,Бухгалтер,75614,1217588,36
Москва,Экономист,137245,220244,24
Питер,Бухгалтер,189242,1176032,72
Казань,Экономист,96231,1065216,96
Питер,Бухгалтер,137245,1633148,96
Питер,Бухгалтер,89450,303356,60
Москва,Программист,112309,1591592,96
Питер,Программист,75614,1106772,24
Москва,Экономист,75614,1286848,60
Питер,Экономист,112309,1065216,108
Казань,Программист,157495,1065216,108
Питер,Программист,189242,275652,72
Москва,Бухгалтер,112309,317208,72
Питер,Программист,210561,1813224,84
Питер,Программист,96231,1203736,24
Москва,Программист,75614,885140,96
Москва,Экономист,137245,1979448,72
Казань,Бухгалтер,112309,331060,24
Казань,Экономист,112309,455728,24
Казань,Программист,75614,1550036,24
Москва,Экономист,75614,1771668,72
Питер,Бухгалтер,89450,192540,108
Питер,Бухгалтер,89450,1189884,84
Казань,Программист,89450,774324,24
Казань,Бухгалтер,210561,1896336,108
Казань,Программист,112309,1176032,24
Питер,Бухгалтер,157495,1924040,12
Питер,Бухгалтер,137245,1148328,108
Казань,Бухгалтер,75614,511136,96
Питер,Программист,96231,566544,96
Казань,Бухгалтер,157495,982104,12
Питер,Экономист,189242,1743964,24
Москва,Бухгалтер,210561,372616,96
Питер,Экономист,157495,1813224,12
Питер,Программист,157495,954400,108
Казань,Программист,75614,677360,12
Казань,Бухгалтер,210561,1494628,108
Питер,Экономист,96231,1660852,60
Москва,Программист,189242,718916,48
Питер,Программист,189242,1965596,48
Москва,Программист,189242,1785520,72
Казань,Бухгалтер,89450,1716260,108
Москва,Бухгалтер,189242,428024,36
Казань,Бухгалтер,89450,441876,48
Москва,Бухгалтер,96231,926696,36
Казань,Экономист,157495,995956,24
Казань,Бухгалтер,89450,1092920,48
Москва,Программист,112309,414172,96
Казань,Бухгалтер,157495,1660852,48
Казань,Экономист,157495,566544,96
Питер,Программист,157495,538840,60
Казань,Бухгалтер,112309,1896336,60
Питер,Экономист,112309,1716260,24
Москва,Программист,75614,802028,108
Казань,Экономист,137245,1300700,36
Питер,Экономист,96231,1148328,96
Питер,Бухгалтер,75614,1203736,48
Казань,Программист,157495,1799372,72
Питер,Экономист,157495,1660852,60
Питер,Бухгалтер,89450,1605444,24
Казань,Экономист,89450,677360,24
Питер,Программист,89450,1023660,48
Москва,Бухгалтер,137245,788176,36
Питер,Экономист,75614,580396,36
Питер,Экономист,112309,1203736,84
Казань,Экономист,137245,954400,84
Питер,Бухгалтер,96231,414172,12
Питер,Экономист,210561,1522332,12
Москва,Программист,157495,746620,36
Москва,Бухгалтер,89450,815880,96
Казань,Программист,157495,1272996,72
Казань,Программист,96231,247948,72
Москва,Бухгалтер,96231,1633148,12
Казань,Экономист,112309,1508480,108
Питер,Экономист,157495,220244,84
Москва,Бухгалтер,210561,1896336,96
Москва,Экономист,89450,524988,84
Москва,Программист,89450,206392,84
Питер,Программист,137245,400320,48
Питер,Программист,189242,386468,72
Казань,Программист,96231,1106772,108
Москва,Экономист,112309,1550036,60
Казань,Программист,137245,1356108,96
Москва,Бухгалтер,137245,1508480,84
Питер,Экономист,75614,705064,36
Питер,Программист,189242,954400,36
Казань,Экономист,210561,483432,24
Казань,Экономист,157495,1245292,60
Питер,Бухгалтер,189242,1993300,48
Питер,Экономист,189242,1439220,84
Питер,Бухгалтер,75614,580396,96
Питер,Программист,75614,247948,72
Питер,Экономист,112309,1702408,72
Москва,Программист,75614,829732,48
Питер,Бухгалтер,157495,1480776,84
Казань,Программист,210561,1439220,60
Казань,Экономист,75614,1840928,48
Москва,Бухгалтер,157495,234096,12
Москва,Бухгалтер,112309,732768,12
Казань,Экономист,137245,1148328,72
Москва,Программист,89450,912844,84
Питер,Экономист,210561,1314552,84
Питер,Программист,112309,995956,36
Москва,Бухгалтер,75614,1813224,96
Москва,Бухгалтер,189242,1716260,108
Казань,Экономист,89450,1494628,72
Питер,Программист,189242,455728,72
Казань,Экономист,137245,1148328,60
Питер,Бухгалтер,157495,1522332,48
Москва,Бухгалтер,75614,912844,84
Питер,Программист,189242,1079068,60
Питер,Бухгалтер,75614,1660852,72
Казань,Бухгалтер,96231,1411516,96
Москва,Программист,137245,386468,60
Казань,Бухгалтер,75614,912844,48
Казань,Бухгалтер,189242,1259144,36
Москва,Бухгалтер,137245,1577740,72
Москва,Бухгалтер,210561,1619296,60
Казань,Программист,157495,1369960,72
Казань,Программист,210561,1300700,12
Москва,Экономист,210561,1799372,84
Казань,Программист,112309,1079068,36
Питер,Экономист,210561,289504,36
Питер,Бухгалтер,75614,524988,48
Казань,Бухгалтер,137245,885140,108
Питер,Программист,89450,1162180,36
Казань,Экономист,112309,926696,72
Питер,Экономист,210561,1148328,96
Москва,Экономист,137245,1342256,60
Москва,Программист,89450,1702408,36
Питер,Экономист,189242,1009808,72
Москва,Бухгалтер,157495,289504,72
Питер,Программист,75614,940548,24
Москва,Экономист,96231,1840928,24
Питер,Программист,96231,1937892,96
Казань,Экономист,210561,455728,96
Москва,Программист,157495,995956,60
Питер,Экономист,112309,1134476,96
Казань,Бухгалтер,210561,289504,12
Казань,Бухгалтер,157495,621952,60
Казань,Бухгалтер,157495,1577740,48
Питер,Программист,96231,1466924,72
Москва,Бухгалтер,157495,1383812,72
Москва,Экономист,210561,1203736,48
Казань,Экономист,96231,1688556,72
Москва,Программист,75614,192540,84
Москва,Экономист,210561,621952,36
Казань,Экономист,75614,857436,72
Казань,Программист,75614,1743964,96
Питер,Программист,75614,1079068,72
Москва,Экономист,189242,1259144,60
Питер,Экономист,96231,940548,84
Москва,Экономист,75614,898992,72
Москва,Бухгалтер,75614,912844,108
Питер,Программист,210561,926696,60
Казань,Программист,96231,871288,12
Питер,Программист,137245,1591592,24
Казань,Бухгалтер,210561,1965596,84
Москва,Бухгалтер,210561,1965596,96
Питер,Экономист,189242,1176032,36
Москва,Программист,137245,275652,36
Питер,Экономист,157495,774324,60
Питер,Экономист,210561,1563888,108
Питер,Программист,89450,1536184,12
Питер,Бухгалтер,189242,802028,108
Москва,Экономист,112309,1785520,24
Москва,Экономист,75614,732768,96
Казань,Программист,157495,1369960,24
Казань,Бухгалтер,189242,469580,24
Москва,Программист,189242,1245292,48
Казань,Бухгалтер,89450,1065216,24
Москва,Программист,75614,1522332,24
Москва,Бухгалтер,96231,663508,60
Казань,Программист,189242,1563888,48
Питер,Бухгалтер,75614,1508480,12
Москва,Программист,157495,1605444,36
Москва,Программист,96231,1688556,60
Москва,Программист,112309,1771668,96
Казань,Экономист,112309,594248,48
Казань,Экономист,210561,358764,36
Питер,Бухгалтер,112309,621952,60
Казань,Экономист,112309,261800,36
Москва,Программист,210561,1162180,36
Питер,Бухгалтер,75614,1827076,60
Казань,Бухгалтер,112309,455728,60
Москва,Бухгалтер,96231,1827076,96
Казань,Программист,89450,497284,96
Питер,Программист,137245,940548,72
Москва,Бухгалтер,210561,1356108,96
Москва,Экономист,96231,1203736,48
Москва,Программист,89450,608100,60
Казань,Программист,210561,1840928,108
Москва,Экономист,96231,1037512,60
Питер,Экономист,157495,344912,60
Питер,Бухгалтер,137245,1813224,24
Москва,Программист,189242,1924040,48
Питер,Экономист,89450,1563888,96
Москва,Экономист,189242,621952,24
Питер,Бухгалтер,157495,1743964,24
Москва,Программист,210561,1951744,60
Москва,Программист,89450,1383812,12
Казань,Программист,112309,1577740,48
Питер,Бухгалтер,75614,1785520,48
Москва,Программист,89450,1799372,96
Казань,Экономист,210561,1342256,24
Казань,Программист,89450,912844,60
Казань,Бухгалтер,112309,1924040,12
Москва,Бухгалтер,189242,1356108,84
Питер,Программист,89450,1120624,48
Казань,Программист,112309,1785520,48
Питер,Бухгалтер,189242,621952,60
Казань,Программист,112309,871288,108
Питер,Бухгалтер,96231,303356,12
Питер,Экономист,96231,829732,108
Питер,Бухгалтер,75614,912844,36
Питер,Программист,157495,788176,72
Питер,Программист,75614,1619296,60
Казань,Программист,189242,1189884,24
Москва,Программист,89450,912844,48
Москва,Бухгалтер,89450,524988,12
Казань,Бухгалтер,137245,1896336,84
Питер,Бухгалтер,157495,275652,72
Питер,Экономист,75614,247948,48
Казань,Бухгалтер,157495,1910188,96
Питер,Бухгалтер,89450,234096,24
Казань,Экономист,112309,1079068,96
Москва,Экономист,189242,275652,96
Казань,Программист,137245,1148328,108
Казань,Программист,157495,594248,48
Питер,Бухгалтер,157495,829732,48
Казань,Программист,112309,635804,24
Казань,Экономист,89450,1827076,24
Москва,Экономист,96231,898992,36
Питер,Экономист,210561,206392,60
Казань,Бухгалтер,75614,1910188,12
Питер,Экономист,189242,1120624,36
Казань,Экономист,96231,1439220,108
Москва,Программист,96231,1577740,48
Питер,Экономист,189242,234096,48
Питер,Экономист,75614,511136,36
Казань,Программист,210561,275652,84
Питер,Экономист,75614,1660852,84
Казань,Экономист,210561,940548,36
Казань,Экономист,89450,1757816,24
Казань,Бухгалтер,75614,1314552,48
Питер,Экономист,210561,469580,72
Москва,Бухгалтер,137245,1702408,36
Питер,Экономист,112309,358764,12
Питер,Экономист,137245,400320,36
Москва,Программист,189242,912844,24
